Unnamed: 0,title,longitude,latitude
0,카카듀 강남점,127.02680847150029,37.50295164961464
1,더달달,127.02847239972408,37.503212999917814
2,프레피,127.0266509997241,37.5020979999178
3,알베르,127.02794798949834,37.50279666928291
4,알베르,127.02769849579698,37.502890314622675
5,떼시스 강남점,127.02780792423849,37.502229151836794
6,공상카페,127.0284518005502,37.4990521982171
7,알베르,127.02802499972408,37.503143999917796
8,알베르,127.02802499972408,37.503143999917796
9,카페스팟 강남역점,127.0279035,37.503294399999994
10,알베르,127.02802499972408,37.503143999917796
11,슈퍼커피 신논현점,127.02321859972412,37.50482649991781
12,마망갸또 강남역점,127.0269101997241,37.502802099917815
13,스탠다드커피바,127.02718844641477,37.50353512511185
14,힐링616,127.02763259972409,37.50339589991781
15,라비앵테이스트,127.02639861442051,37.50498318515903
16,flock,127.03622179972409,37.508789799917786
17,빈브라더스 강남점,127.02871626041396,37.49836862515078
18,힐링616,127.02709238884621,37.50294305938952
19,스탠다드커피바,127.02753147969358,37.50116592530272
20,카푸치노스트립,127.02726621677343,37.499994915147894
21,피아노리브레,127.02864249972409,37.49990399991785
22,해피레몬플러스 강남역점,127.02762269972408,37.498940499917815
23,알라카르테,127.03991858165274,37.49403818227019
24,엘가,127.0280001390233,37.50332328239642
25,알베르,127.0270610434182,37.50260834315643
26,강남밀면,127.02707046255888,37.50033666727829
27,힐링616,127.02667838685775,37.50400500381511
28,스탠다드커피바,127.02710052383549,37.5022278037606
29,서울특별시 서초구 강남대로89길 11,127.0212752997241,37.509213799917795
30,서울특별시 강남구 논현동 232-21,127.03621939972406,37.508793499917815
31,flock,127.03622179972409,37.508789799917786
32,꿀잼코믹스,127.02907821620356,37.49908507399189
33,아티제 강남점,127.02576105031487,37.503058326105354
34,뉴코피커피,127.02693986884235,37.502354706264526
35,서울특별시 강남구 역삼동 630-2,127.03339434573408,37.5010666257141
36,카페마마스 강남역지점,127.02639393775893,37.49625900578491
37,카카듀 강남점,127.02716879972408,37.50322349991782
38,flock,127.03622179972409,37.508789799917786
39,떼시스 강남점,127.02771571348516,37.50249919069842
40,카페더스노우,127.02652929972409,37.5070944999178
41,CGV 강남,127.02680589137708,37.50158254402098
42,뉴코피커피,127.02672559590616,37.50224568498686
43,떼시스 강남점,127.02796199972408,37.50291479991781
44,미트프레쉬 강남본점,127.02661013734556,37.50188166245618
45,더바나나앤코,127.02718759972409,37.502563899917796
46,떼시스 강남점,127.02796200000002,37.5029148
47,피아노리브레,127.02864249972409,37.49990399991785
48,바바부단강남점,127.02902869972408,37.500144899917814
49,꿀잼코믹스,127.0278352656538,37.498845759218696
50,마이쥬스 강남점,127.02898829972408,37.49979269991782
51,꿀잼코믹스,127.0290419,37.4994635
52,오설록티하우스 강남점,127.02831061169658,37.495657284195254
53,브라운홀릭,127.02861929972408,37.50108109991781
54,떼시스 강남점,127.02819156025065,37.502392929222566
55,토끼정,127.02730309972411,37.502971199917795
56,떼시스 강남점,127.02796199972408,37.50291479991781
57,카페피아노리브레,127.02861189972408,37.49991559991782
58,크레이저커피 강남역점,127.026067905682,37.499316850157584
59,카페인버스 강남역점,127.02631317293732,37.49715227284153
60,언노운커피 역삼점,127.03043299050209,37.49401620400014
61,미트프레쉬 강남본점,127.0267454997241,37.501945299917814
62,코이카페 코리아,127.0299621,37.49694829999999
63,미트프레쉬 강남본점,127.0269365225753,37.50035967415909
64,카페무라노,127.02622389972409,37.503162799917796
65,꿀잼코믹스,127.02864838015662,37.499074346108955
66,가토드보야주,127.02143073726444,37.510037660488344
67,CAFE3.16,127.0322147774986,37.49130029161176
68,떼시스 강남점,127.02796199972408,37.50291479991781
69,와플앨리 역삼점,127.03056609999999,37.49534
70,손문곱창,127.12532679227428,37.53875313752169
71,마이쥬스 강남점,127.0282129717198,37.49895134230636
72,크레이저커피 강남역점,127.02475079972409,37.50006869991782
73,할리스커피 강남역점,127.0276039551396,37.49814933681315
74,더달달,127.027432231447,37.50310068030294
75,꽃을피우고,127.02833952541168,37.499969637526256
76,강아지팩토리,127.04057169972404,37.52246909991778
77,꽃을피우고,127.02792884919306,37.50050881227961
78,카페포우즈,127.03167397890759,37.496057395947815
79,에스프레소 퍼블릭,127.0278654997241,37.50287239991781
80,TAETEA 대익보이차 직영점,127.030745,37.4992796
81,떼시스 강남점,127.02796199972408,37.50291479991781
82,카페스타시오,127.0450227711645,37.50859833234797
83,떼시스 강남점,127.02796199972408,37.50291479991781
84,오설록티하우스 강남점,127.02842664361415,37.496094906699376
85,알베르,127.02802499972408,37.503143999917796
86,티퍼플,127.027625,37.5001333
87,BORN coffee,127.03028946151026,37.493452274775635
88,커피갤러리,127.02669289972408,37.50245699991782
89,마망갸또 강남역점,127.0269101997241,37.502802099917815
90,파리바게뜨 카페강남중앙점,127.02840969972408,37.49514079991783
91,힐링616,127.02612591824172,37.50191163788311
92,에나타,127.02584105655228,37.50245539417823
93,엘가,127.03281058854208,37.50117914525022
94,떼시스 강남점,127.02796199972408,37.50291479991781
95,알베르,127.028025,37.503144
