Unnamed: 0,title,longitude,latitude
0,안도,126.99703564437573,37.53476055227282
1,스윗이스트,126.98944640000002,37.5337564
2,헬카페 로스터즈,126.99588339087423,37.53243839862951
3,릴리브,126.99047449972414,37.54351799991771
4,릴리브,126.99047449972414,37.54351799991771
5,PEER COFFEE ROASTERS,127.00099929972414,37.53578529991774
6,원인어밀리언,127.00139672276107,37.538307070790204
7,해크니,126.98730769972414,37.54153869991771
8,챔프커피 제2작업실,126.99282099999999,37.532508299999996
9,앤드커피랩,127.00134993975723,37.53652450674048
10,투더디프런트 이태원점,126.9949697596743,37.534536762143674
11,르와지르,126.99751255352406,37.535849100574495
12,5extracts,126.99771349972416,37.53457119991774
13,PEER COFFEE ROASTERS,127.00099102787658,37.53617735320191
14,5extracts,126.9977135,37.53457120000001
15,원인어밀리언,127.00194889972414,37.53697539991775
16,장고네프루티즘,126.9982491,37.5328174
17,세렝게티,126.992047057327,37.54129110395848
18,주카스젤라또,126.99348066627847,37.534374786281
19,챔프커피 제2작업실,126.9940818522378,37.53351420940889
20,릴리브,126.99047449972414,37.54351799991771
21,수르기,127.00042759972416,37.536046199917735
22,오랑오랑,126.98438876974286,37.54501030252217
23,르와지르,126.99769110974812,37.53622842811386
24,치읓,126.98746892316862,37.540364767378996
25,섬세한남자,126.9933415,37.5336565
26,앤트러사이트 한남점,127.00016399972414,37.536114899917735
27,브릭레인,126.98723559999999,37.5363271
28,스트릿츄러스 본점,126.98696570000001,37.5373962
29,장고네프루티즘,126.99824909972412,37.532817399917725
30,마이스윗,126.99293571777413,37.53454637810167
31,케르반베이커리,126.99653319972414,37.534487399917744
32,릴리브,126.9904745,37.543518
33,카페 뎀셀브즈,126.98905722975515,37.56895761143811
34,안도,126.99648341114086,37.53440667156365
35,트레프,126.98808208965765,37.53652890746232
36,동아냉면,126.99598325596637,37.53054772247349
37,릴리브,126.99216031839413,37.54197493860369
38,이태원과자점,126.99993929972416,37.53664799991774
39,바나나트리 2호점,127.00106219972416,37.53779249991773
40,크라우드커피,126.99003216857788,37.540564376867756
41,오리지널시카고피자 이태원점,126.99359556841978,37.534823939363505
42,카롱카롱,126.99328628719515,37.540435439637925
43,레이디엠 이태원점,126.9942105703584,37.53429346930936
44,헬카페 로스터즈,126.9965184077269,37.53226083712392
45,헬카페 로스터즈,126.99698419972412,37.530315899917724
46,스윗이스트,126.98853910244736,37.53402287953588
47,농촌Shack,126.9912125,37.5305771
48,지구촌,126.99423020000002,37.533163
49,챔프커피 제2작업실,126.9928709981727,37.53348197526185
50,피에,127.00130059972412,37.53636289991773
51,르푸도레,126.99185389972412,37.53566569991773
52,드플로허,126.99991016721252,37.53545256102396
53,베이크하우스,126.9907874,37.5407901
54,르봉마리아쥬,126.98786796129345,37.536652731847695
55,패션5,127.0019415,37.5387939
56,원인어밀리언,126.99998475243738,37.536173909764145
57,글래머러스펭귄,126.99997422320486,37.536132543192586
58,글래머러스펭귄,126.99849575459166,37.53718085564807
59,제인송 모제인송,127.00091639972416,37.537784599917735
60,그레트힐란,126.99324699972414,37.54007069991772
61,오리올,126.98406909972415,37.5473794999177
62,카페노르딕,127.00071768301416,37.535868830296685
63,BOON,127.00023196781252,37.537290156267964
64,벨포트 이태원점,127.00087355443785,37.53773409321155
65,오쉐이크 이태원점,126.99260849972414,37.53487819991773
66,챔프커피 제2작업실,126.99282099999999,37.532508299999996
67,원인어밀리언,127.00194889972414,37.53697539991775
68,구앤타오주스경리단길점,126.9944106,37.5404523
69,르와지르,126.99832856989276,37.53569032658621
70,꽁티드툴레아,126.99087119972415,37.541385899917714
71,글래머러스펭귄,127.00034479946548,37.53827031611494
72,마이스윗,126.99377497498344,37.534297600096004
73,스윗이스트,126.98944639972416,37.533756399917735
74,서울특별시 용산구 한남동 686-22,126.99926499972412,37.53335019991775
75,마이스윗,126.99201079972414,37.53407369991773
76,헬카페 로스터즈,126.99698419972412,37.530315899917724
77,패션5,127.00194149972415,37.53879389991774
78,라인프렌즈 플래그십 스토어 이태원점,126.99616249972412,37.53447519991773
79,앤트러사이트 한남점,126.99994915870165,37.53608244304722
80,에이코너,126.98836629972412,37.53496229991773
81,헬카페 로스터즈,126.99698419972412,37.530315899917724
82,해크니,126.9873077,37.541538700000004
83,패션5라뜰리에,127.00207359972414,37.53871109991774
84,마이스윗,126.99201079972414,37.53407369991773
85,레이디엠,126.99378549972414,37.534271399917735
86,홈스테드 이태원점,126.99454809972414,37.53470319991773
87,헬로힐링,126.99359999972413,37.533619999917725
88,안도,126.99815669972412,37.53468419991773
89,언더프레셔,127.0097598,37.5349255
90,헬카페 로스터즈,126.99698419972412,37.530315899917724
91,마피아디저트,126.98855429972414,37.53550639991773
92,말리커피 이태원점,126.99368894159436,37.534438122828774
93,카페노르딕,127.00166925574564,37.537566823026935
94,라이너스바베큐,126.98971789972416,37.53378199991774
95,마이스윗,126.99201079972414,37.53407369991773
96,WAYSOFSEEING,126.99992629972417,37.53594649991773
97,안도,126.99815670000001,37.5346842
98,오텀인뉴욕,126.99483789972412,37.53508869991773
99,키에리,126.99333588288543,37.533856068012135
100,코티지카페보리,126.99198079972416,37.534715599917725
101,드모아젤,126.98912689972416,37.53525589991773
102,WAYSOFSEEING,126.99992629972417,37.53594649991773
103,패션5,127.0019415,37.5387939
104,안도,126.99815669972412,37.53468419991773
105,이중생활,126.990611508212,37.53644413200082
106,곤트란쉐리에 이태원점,126.99725359999998,37.5349425
107,굿애프터눈,126.99049620671505,37.536644359962615
108,시리즈코너 이태원점,127.0004756,37.5364085
