Unnamed: 0,title,longitude,latitude
0,피에,127.00035117776758,37.53753252346728
1,피에,127.00086812821807,37.53662715076108
2,슈가대디,126.98975589972414,37.53402549991774
3,이코복스커피 이태원점,126.9920908,37.5350624
4,달콤커피 이태원점,126.99471438130129,37.53455296237715
5,105까페,126.99751218244712,37.53457748157013
6,커피츄,127.0000744383074,37.53731804706369
7,해크니,126.98730019972416,37.54145949991773
8,커피스미스이태원직영점,126.99098199972413,37.534501999917744
9,말리커피,126.993121246119,37.534328838073634
10,닐스야드,126.99257139972416,37.534568299917744
11,몬스터컵케익,126.98884463746496,37.53832519820517
12,프랭크,126.99279399972414,37.541121099917724
13,보통,126.98772387005108,37.53442900862329
14,테이크아웃드로잉,127.00112439972412,37.53712739991773
15,코코브루니,127.00151999972415,37.53769999991773
16,플리플리,126.99973131697493,37.5371733208546
17,안도,126.99815669972412,37.53468419991773
18,글래머러스펭귄,126.99870995519673,37.53699722488161
19,브릭레인,126.99029235059707,37.53643826418795
20,원스어폰어밀크쉐이크,126.98873787399212,37.538828871813685
21,브릭레인,126.98735428191608,37.53573150529871
22,원스어폰어밀크쉐이크,126.98737719972416,37.53917449991771
23,타르틴,126.99361861506151,37.53468032696381
24,닐스야드커피,126.99325201178179,37.534565002166424
25,스노우볼 이태원점,126.99658899658226,37.53483619881075
26,오늘은 열었을거야,126.99793699972416,37.532857999917724
27,테이크아웃드로잉,127.00112439972412,37.53712739991773
28,슈가대디,126.98975589972414,37.53402549991774
29,르와지르,126.99929797909486,37.536298125040695
30,타르틴,126.99282599972412,37.534726499917724
31,글래머러스펭귄,126.99963699972416,37.537163399917716
32,글래머러스펭귄,126.99963699972416,37.537163399917716
33,비트윈,126.99619029972412,37.534850899917714
34,아도스,126.98828872477681,37.53333701037647
35,글래머러스펭귄,126.99963699972416,37.537163399917716
36,로마,126.99198866653694,37.53373857931869
37,이코복스커피 이태원점,126.99209079972415,37.53506239991773
38,노리랩,126.98977512347578,37.53530014828415
39,ALEX THE COFFEE,127.00067174698664,37.5355346603226
40,커피츄,127.0020362188677,37.53848006646479
41,바나나트리 2호점,127.00086960890451,37.53816085218666
42,해밀턴 호텔,126.99363909972412,37.534861199917735
43,엔트로피커피,126.99829892211326,37.53269198938447
44,마노핀 이태원점,126.99444809972412,37.53513619991773
45,My Juice,126.98707769972415,37.5408720999177
46,la bocca,126.99661565921993,37.53455427767307
47,모제인송,127.00091639972416,37.537784599917735
48,플리플리,126.99761332457123,37.53568611187009
49,몬스터컵케익,126.9881512627412,37.53875033675204
50,닐스야드,126.99257140000002,37.5345683
51,보통,126.98869690000001,37.5344828
52,My Juice,126.98723798952996,37.54060689749403
53,테이크아웃드로잉,126.98737399972414,37.53929129991773
54,안도,126.99815669972412,37.53468419991773
55,BOUTIQUE 부티크카페,126.98986103757026,37.53755333097368
56,,127.00111895055794,37.53709582957365
57,마노핀 이태원점,126.99444809972412,37.53513619991773
58,케르반레스토랑,126.99516699972412,37.53437599991773
59,샤또쇼콜라 이태원점,126.99468999972414,37.532722399917716
60,피에,127.00263951965984,37.537481895668826
61,브릭레인,126.98734405669987,37.53639846121524
62,(주)레오니다스코리아,126.99423300000001,37.53426629999999
63,벨라스 홈스테이,126.98697299972416,37.53793879991772
64,My Juice,126.98895053680202,37.5384645986231
65,테이크아웃드로잉,126.98737399972414,37.53929129991773
66,그레트힐란,126.99325139175144,37.5394217457425
67,보통,126.98780434922226,37.53507382437564
68,해크니,126.98730019972416,37.54145949991773
69,LeCafe,126.98709399972417,37.54154999991771
70,프랭크,126.99274713504718,37.541355249918055
71,카페 소피,126.99627459972416,37.54105199991771
72,엔트로피커피,126.99841125691091,37.532818655938065
73,서울특별시 용산구 한남동 736-8,126.99815939972412,37.534683699917736
74,카페 소피,126.99605403859242,37.540185761511545
75,이태원역4번출구,126.99374999972414,37.53435829991773
76,테이크아웃드로잉,127.00141104525564,37.53742605671016
77,리버틴,126.99423549668869,37.53355791691294
78,ALEX THE COFFEE,127.00067959972412,37.535205699917725
79,글래머러스펭귄,127.00089387696535,37.538791152349326
80,타르틴,126.99282599972412,37.534726499917724
81,브릭레인,126.98725959972415,37.53633499991772
82,마노핀 이태원점,126.99444809972412,37.53513619991773
83,리쉬스벨루,126.9998696,37.5374894
84,글래머러스펭귄,126.99963699972416,37.537163399917716
85,테이크아웃드로잉,127.00112439972412,37.53712739991773
86,런던티,126.98969393553423,37.532640754484525
87,바토스 이태원점,126.9901614,37.5346356
88,플리플리,126.99994359972412,37.535894299917736
89,해크니,126.98730019972416,37.54145949991773
90,피에,127.00139722125431,37.537062034932475
91,바나나트리 2호점,127.00098519972414,37.53780079991774
92,커피츄,127.00238632518138,37.538598718056676
93,스마일마켓 건대점,127.07169009383001,37.539475231229275
94,해크니,126.98903697136987,37.53908746073324
95,해크니,126.98849046057079,37.53955379739832
96,스위트럭이태원점,126.99430849972414,37.53434429991773
97,테이크아웃드로잉,126.98737399972414,37.53929129991773
98,레뒤플라,126.99211679972414,37.534703499917725
99,바나나트리 2호점,127.0018618876351,37.53873289385272
100,안도,126.99797343194037,37.5350079078021
101,말리커피,126.99354551292723,37.53424005276192
102,모드팝 한남점,126.99847869972416,37.53484299991774
103,달롤,126.98706599972414,37.53804519991772
104,오텀인뉴욕,126.99473810218464,37.534781813220214
105,홈스테드 이태원점,126.99463885889222,37.53467204101789
106,닐스야드,126.99257140000002,37.5345683
107,패션5,127.00237439417673,37.53960774726577
108,카페써드에비뉴,126.98907159972414,37.53347549991773
109,코코브루니 한남점,127.00156431856136,37.5378779284401
110,르와지르,126.99905249013004,37.536617063919564
111,해크니,126.98730019972416,37.54145949991773
112,리쉬스벨루,126.99986959972412,37.537489399917725
113,이태원역 6호선,126.9945961,37.534542
114,아도스,126.98994189972414,37.533235999917736
115,Cafe도도독,126.98976769972415,37.533242499917726
116,보니스피자펍,126.9868977,37.541172700000004
117,녹사라운지,126.98930123357405,37.538418586046035
118,MYCHELSEA,126.99347919960265,37.5349792554424
119,세종한우,127.03243949972406,37.5110623999178
120,해크니,126.98730019972416,37.54145949991773
121,마이쥬스,126.98970095968276,37.54144364495265
122,이코복스커피 이태원점,126.99353930316592,37.53510467510321
123,안도,126.998993529658,37.53479591542839
124,리쉬스벨루,126.9998696,37.5374894
125,리쉬스벨루,127.00052042597406,37.53749215450343
126,해크니,126.98908815104916,37.538222384798864
127,마카멜롱,126.9896858948082,37.53924438463309
128,패션5라뜰리에,127.00202189972416,37.538794899917725
129,카페써드에비뉴,126.98907159972414,37.53347549991773
130,말리커피,126.99361529629208,37.53435512947689
131,Y Pot Coffee,126.98819769972415,37.534543199917714
132,안도,126.9964265168857,37.5344514965839
133,케르반 디저트베이커리,126.99662549972412,37.534465099917725
134,안도,126.99643438810008,37.534122536535286
135,카롱카롱,126.99351489972412,37.54091819991771
136,리쉬스벨루,126.99986959972412,37.537489399917725
137,이코복스커피 이태원점,126.99209079972415,37.53506239991773
138,카페노르딕,127.00095377526493,37.53780773534695
139,la bocca,126.99638947571104,37.53452627274757
140,프랭크,126.99179558075369,37.54145932065478
141,스탠딩,126.98696519972415,37.537706899917715
142,보통,126.98869689972412,37.53448279991772
143,안도,126.99815669972412,37.53468419991773
144,My Juice,126.98707769972415,37.5408720999177
145,닐스야드,126.99257139972416,37.534568299917744
146,안도,126.99812867580887,37.53464351996751
147,바나나트리 2호점,127.00098519972414,37.53780079991774
148,글래머러스펭귄,126.999637,37.5371634
149,스탠딩커피(STANDING COFFEE),126.98754199208693,37.5361230254873
150,안도,126.99815669972412,37.53468419991773
151,스노우볼,126.99851319972416,37.534833599917725
152,닐스야드,126.99391821223587,37.534583092865226
153,마노핀 이태원점,126.99444809972412,37.53513619991773
154,에브리띵벗더히어로,126.99672826631851,37.53874777639671
155,글래머러스펭귄,126.999409300816,37.53736073234651
156,타르틴,126.99282599972412,37.534726499917724
157,경리단길,126.99171100000001,37.539798
158,테이크아웃드로잉,126.98737399972414,37.53929129991773
159,프랭크,126.99279399972414,37.541121099917724
160,Alex the coffe,127.00067959972412,37.535205699917725
161,수향,126.99006695305836,37.535384821898056
162,마노핀 이태원점,126.99456916275363,37.53480772457834
163,쭈꾸미달인,126.99483809994398,37.534873446525204
164,카페톨릭스한남,127.00989459972412,37.53492919991773
165,My Juice,126.9870777,37.5408721
166,코코브루니 한남점,127.00146379972414,37.537674699917716
167,테이크아웃드로잉,126.987374,37.539291299999995
168,테이크아웃드로잉,127.0011244,37.537127399999996
169,A&amp;ND,126.99755633455624,37.535102317436674
170,케르반 바에커리,126.99653849972414,37.534487699917726
171,(주)레오니다스코리아,126.99423299972412,37.534266299917725
172,빅 머그,126.98930239052326,37.537336086021064
173,Cafe BOTTON,126.98815165282792,37.53476887054881
174,글래머러스펭귄,126.99963699972416,37.537163399917716
