,title,longitude,latitude
0,뉴코피커피,127.02676049972408,37.50232109991781
1,더달달,127.02792488250675,37.50302152789512
2,카페마마스 강남역지점,127.0254329997241,37.496155999917825
3,카페무라노,127.02622389972409,37.5031627999178
4,알베르,127.02808799972408,37.503169199917814
5,브라운홀릭,127.02861929972408,37.50108109991781
6,카페 고양이똥,127.02927259972408,37.514865399917795
7,알베르,127.02808799972408,37.503169199917814
8,카페 로스터제임스,127.03664589972408,37.49527019991782
9,더바나나앤코,127.02636574053271,37.50371434593563
10,커피갤러리,127.02669289972408,37.50245699991782
11,베이커스필드,127.02797694426152,37.49924242167382
12,빈스플,127.02750715730492,37.50298763158689
13,마망갸또 강남역점,127.0269101997241,37.50280209991781
14,카페마마스 강남역지점,127.0266050638883,37.49686376264251
15,카페마마스 강남역지점,127.0254329997241,37.496155999917825
16,더달달,127.0284724,37.503213
17,빈스플,127.02705888208108,37.50202394876358
18,더바나나앤코,127.02699703313772,37.50228371594401
19,가온길 강남점,127.02693759972409,37.50235169991781
20,카페마마스 강남역지점,127.02707126894266,37.49648705909768
21,호미빙강남역점,127.02709342994443,37.50078795937158
22,밀크카우 강남점,127.0269927997241,37.50222089991781
23,더달달,127.02847239972408,37.50321299991781
24,카페 로스터제임스,127.03536148761938,37.49807739659262
25,빈스플,127.0272757997241,37.50261069991781
26,밀쉐프 싸이더스HQ점,127.04255389972406,37.5128985999178
27,엘가,127.02823139972406,37.50316679991782
28,커피갤러리,127.02650949353253,37.502834835366045
29,테이크어반,127.0247466997241,37.50487599991781
30,에잇세컨즈 강남역점,127.0265936997241,37.49897929991782
31,설빙 강남역점,127.0270101997241,37.50189479991781
32,마망갸또 강남역점,127.0269102,37.5028021
33,공상카페,127.0279113887222,37.49863541473028
34,알베르,127.02808799972408,37.503169199917814
35,더달달,127.02847239972408,37.50321299991781
36,(주)코코브루니,127.0262447525292,37.50326000198645
37,카페톡,127.02275250649164,37.50900211438243
38,종가안동찜닭,127.02832972863882,37.49962422611448
39,커피갤러리,127.02700001402634,37.50040313284254
40,렉탱글618커피,127.0284222,37.503475
41,투썸플레이스 강남삼성타운점,127.0261289997241,37.49728799991782
42,카페 로스터제임스,127.03664589972408,37.49527019991782
43,커피스튜디오,127.0280823,37.5028922
44,카페 로스터제임스,127.03259763386805,37.49500187164339
45,카페마마스 강남역지점,127.02556646911796,37.49651707967299
46,뉴코피커피,127.02652671746489,37.503509955914836
47,스쿱스,127.0253270997241,37.50028609991781
48,커피갤러리,127.02669289972408,37.50245699991782
49,미트프레쉬 강남본점,127.02718495731735,37.50043277746924
50,알베르,127.02808799972408,37.503169199917814
51,리믹스앤더쿡,127.02823139972406,37.50316679991782
52,클로리스 신논현점,127.0255561,37.5038639
53,더바나나앤코,127.02718759972409,37.5025638999178
54,잉클링,127.02737216280151,37.50221904281945
55,뉴코피커피,127.02676049972408,37.50232109991781
56,클로리스 신논현점,127.02547019172334,37.50403030607145
57,뚜레쥬르 강남역점,127.02715499972408,37.49968489991781
58,엘가,127.02491897189546,37.50098125106016
59,커피갤러리,127.02669289972408,37.50245699991782
60,카페로플라,127.03086839023308,37.49573996521446
61,카페인버스 강남역점,127.0245236,37.4974876
62,뉴코피커피,127.02671501834041,37.502356972033795
63,메이아일랜드 강남점,127.02743749161858,37.499585332047786
64,마망갸또 강남역점,127.0269101997241,37.50280209991781
65,에이블스퀘어,127.0283912373669,37.498962566519346
66,커피갤러리,127.02720080928778,37.50085461594737
67,카페인버스 강남역점,127.02615177707172,37.49762934584587
68,경성팥집옥루몽 강남CGV점,127.02735492409697,37.50225321812294
69,알베르,127.02808799972408,37.503169199917814
70,브라운홀릭,127.02814591620815,37.49989843021008
71,스쿱스,127.0253270997241,37.50028609991781
72,카페 로스터제임스,127.03664589972408,37.49527019991782
73,카페인버스 강남역점,127.02621931185318,37.497683698257134
74,에이블스퀘어,127.0286209997241,37.49930599991781
75,커피빈코리아강남대로센터점,127.02652394401971,37.50245716688075
76,알베르,127.0276317085604,37.503762272538616
77,밀크카우 강남점,127.0269927997241,37.50222089991781
78,퍼피스푼,127.02796409972409,37.5009810999178
79,렉탱글618커피,127.02790529163148,37.502914093137235
80,마망갸또 강남역점,127.02851075677752,37.5001585052901
81,설빙 강남역점,127.0270101997241,37.50189479991781
82,서울특별시 서초구 서초동 1306-1(지오다노 뒷면),127.02635998106479,37.50079861826622
83,뉴코피커피,127.02676049972408,37.50232109991781
84,역삼동 827-3,127.03058550762033,37.496752469972314
85,강남고양이카페,127.03296719972407,37.508504799917795
86,마망갸또 강남역점,127.0269101997241,37.50280209991781
87,커피앳웍스 spc스퀘어점,127.02954855957472,37.495062055125686
88,가온길 강남점,127.02693759972409,37.50235169991781
89,블랑코,127.03606199972408,37.5072113999178
90,기다스시,127.02233804843235,37.52130144917984
91,빈스플,127.02713526274238,37.503367278311345
92,메이아일랜드 강남점,127.0272756997241,37.50012549991782
93,하노이의아침,127.02686426501376,37.49573900899725
94,아티제 삼성타운점,127.0275579528065,37.49631913835236
95,더바나나앤코,127.02718759972409,37.5025638999178
96,알베르,127.02761839454256,37.50228399184428
97,힐링616,127.02660936640132,37.50418499883592
98,어글리스토브 신논현강남역점,127.0282633,37.5007759
99,파리바게뜨 카페강남본점,127.02518510977045,37.50359910534412
100,스위트럭 강남점,127.02636184817277,37.501811149592946
101,쉘위,127.02617818996539,37.498919577772625
102,프레피,127.02672957589208,37.50040376088265
103,업타운카페,127.02872451215558,37.49748786673399
104,차타임 강남점,127.0268639997241,37.5020555999178
