,title,longitude,latitude
0,커피브릿지강남점,127.02867026059232,37.496630797805736
1,카페마마스강남역점,127.02600834311014,37.49641069034453
2,,127.02645467600456,37.501307648176486
3,브라운홀릭,127.02892091938872,37.49989250971864
4,더바나나앤코,127.02712403909392,37.50187861318095
5,커피브릿지강남점,127.02960979972408,37.49653989991783
6,테이크어반,127.02461276262356,37.50458702646129
7,더바나나앤코,127.02718759972409,37.5025638999178
8,커피스튜디오,127.0277137715674,37.50257551177673
9,강남역 2호선,127.02675216912895,37.50188559660865
10,힐링616,127.02738992724542,37.50262653548776
11,COFFEE PANNING,127.032220334318,37.49038637006504
12,나무그늘 강남역점,127.025541,37.501329
13,카페마마스강남역점,127.0254329997241,37.49615599991783
14,토즈 강남토즈타워점,127.02961098411969,37.4969232974046
15,오가다 국기원사거리점,127.03105102115612,37.49830319630953
16,The Beaner,127.02316452347428,37.50595448537345
17,카페마마스강남역점,127.02637932366706,37.49678173550164
18,커피갤러리,127.02669289972408,37.50245699991782
19,카페마마스 강남역지점,127.02606135395804,37.4965857256029
20,더바나나앤코,127.02731432102976,37.50220386374443
21,더바나나앤코,127.02718759972409,37.5025638999178
22,커피갤러리,127.02669415147572,37.50225870611328
23,에이블 스퀘어,127.0290293999152,37.49912735709008
24,더달달,127.02622325959196,37.50248478883052
25,커피스튜디오,127.02725785052796,37.5031099962131
26,노블카페,127.02565397631534,37.50286815129316
27,더바나나앤코,127.02718759972409,37.5025638999178
28,커피니 강남역점,127.02612622589425,37.4976018067616
29,레이나커피,127.02766350082766,37.49910367633936
30,커피갤러리,127.02669289972408,37.50245699991782
31,뚜레쥬르 강남역점,127.02716869984587,37.49930638409109
32,커피갤러리,127.02669289972408,37.50245699991782
33,카페마마스 강남역지점,127.0252505,37.4960056
34,브라운홀릭,127.02808369422708,37.49989818165699
35,카페슬로우,127.025236,37.5008079
36,나무와,127.02777055832595,37.50141814017038
37,카페 릴리블랑,127.03812449972403,37.47763729991786
38,카페마마스 강남역지점,127.0252505,37.4960056
39,힐링616,127.02670094186638,37.502443505297855
40,더바나나앤코,127.02718759972409,37.5025638999178
41,커피스튜디오,127.02798316747364,37.502914597891255
42,커피스튜디오,127.0279153997241,37.50289629991781
43,(주)코코브루니,127.02793408078676,37.50076420041106
44,CNN카페,127.0274169997241,37.49916299991782
45,토끼의지혜,127.02847462702138,37.49958716626293
46,메이아일랜드,127.026142337265,37.5004454481544
47,커피스튜디오,127.02787445906046,37.50221110399969
48,에스프레소 퍼블릭,127.02773857911392,37.50219237648297
49,나무그늘 강남역점,127.025183197849,37.500660557041726
50,서울특별시 강남구 역삼동 817-3,127.02774803578366,37.50026518884554
51,fraisier,127.03216699972408,37.49627699991783
52,slow,127.02577149972409,37.50072569991781
53,빈스플,127.02725112679944,37.502935090140845
54,커피스튜디오,127.02724531311158,37.502406886618
55,카페마마스 강남역지점,127.0252505,37.4960056
56,코나빈스 강남대로점,127.02543005814952,37.50357228700173
57,더바나나앤코,127.02718759972409,37.5025638999178
58,카페마마스 강남역지점,127.02603161987298,37.49681545288252
59,카페파스타 역삼점,127.0307078150984,37.49579140387426
60,에이블 스퀘어,127.028669537634,37.49878340546029
61,더샌드,127.0272888997241,37.50225829991781
62,스탠다드커피바,127.02972772584842,37.50094033577131
63,운현빌딩2,127.0267809997241,37.502519699917805
64,커핀그루나루 강남YBM점,127.027922,37.499404
65,에스프레소 퍼블릭,127.0278249997241,37.5028416999178
66,더바나나앤코,127.02717008838496,37.50175260733898
67,The Novel Cafe,127.02681049972408,37.50247719991782
68,에이블 스퀘어,127.02824215603742,37.49928195363619
69,커피갤러리,127.02669289972408,37.50245699991782
70,던킨도너츠 강남스퀘어점,127.0282193,37.4988937
71,데일리모션,127.02917134134026,37.50064008473535
72,더바나나앤코,127.0271747491202,37.50101351207595
73,자바씨티 강남구청역점,127.04198262162618,37.51519392180541
74,쉘위,127.0271785525451,37.4984861019059
75,헤리스인터내셔널,127.0261368,37.5045876
76,힐링616,127.02757759972408,37.5033663999178
77,쉘위,127.0261361165931,37.49874331902293
78,빈스플,127.02698363906714,37.502294054987786
79,힐링616,127.0275776,37.5033664
80,프레지에,127.03093926552258,37.49662856038581
81,강남맛집 노블카페,127.02681049972408,37.50247719991782
82,서울특별시 강남구 역삼동 813-10,127.0290411889908,37.50037693557857
83,더바나나앤코,127.0271876,37.5025639
84,마리앤마크 강남역점,127.02893334621147,37.49953563996085
85,커피니 강남역점,127.0258535234236,37.49778999791683
86,김밥카페,127.0323729864862,37.49741039480833
87,더바나나앤코,127.027185098791,37.5029604875279
88,카페마마스 강남역지점,127.02603610838857,37.49700024950205
89,노블카페,127.0268555997241,37.5024943999178
90,베이커스필드,127.02800991876076,37.49939578441988
91,커피스튜디오,127.02666829303324,37.50330593412882
92,브라운홀릭,127.02862700575292,37.49985528293727
93,빈스플,127.02624835889677,37.50406678395071
94,슈슈,127.02573619972408,37.50043779991782
95,커피스튜디오,127.0279153997241,37.50289629991781
96,카페마마스 강남역지점,127.02525049972408,37.49600559991782
97,더바나나앤코,127.02674757611592,37.50057914940749
98,힐링616,127.02757759972408,37.5033663999178
99,붓처스컷 강남점,127.02921079758843,37.49557642640319
100,더달달,127.02660448043918,37.50213478746042
101,빈스플,127.02755877910128,37.50258929805522
102,프레피,127.02688784641416,37.500422422037474
103,빈스플,127.027412584282,37.50244900273727
104,카페마마스강남역점,127.02601578188172,37.49702364438348
105,(주)코코브루니,127.02638329972407,37.5026868999178
106,카페마마스강남역점,127.0266104357192,37.49690885212391
